Question_ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Ground_Truth
Q11880,"A professor owned a building in a city. The building had a commercial space on the first floor, with two apartments above it; one on the second, and another on the third floor. Several years ago, a teacher, in a signed writing, entered a three-year lease agreement with the professor. The teacher agreed to pay $800 monthly rent for the third-floor apartment in the professor's building. The original three-year term had long since expired, but the teacher has continued to pay his rent, and the professor continued to accept it. The professor rented the first floor to a restaurateur, who opened a sushi restaurant there. Within months, there was a citywide hookworm epidemic that was traced to the consumption of raw fish. The city council, in an attempt to protect the public from the parasites, passed an ordinance prohibiting all sushi restaurants from operating in the city. The restaurateur was forced out of business. She locked the doors and left a sign in the window: ""Closed until further notice. ""Within weeks, rats were attracted to the odor from the fish that was left in the restaurant, and the building became infested with them. The teacher could not tolerate the rats and served notice on the professor that he was moving to another city and has not been heard from since. The teacher's best defense is that the professor, by permitting the restaurateur to store the fish in the closed restaurant, caused a",partial constructive eviction.,partial actual eviction.,constructive eviction.,breach of implied covenant of habitability.,C
Q1587,Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A
Q3805,A presidential plurality victory occurs when,the winning candidate receives less than 50 percent of the popular vote,candidates receive an equal number of electoral votes and the popular vote determines the winner,the Senate declares the formal winner,the winning candidate receives more than 50% of the popular vote,A
Q1490,How do you prevent SQL injection?,Escape queries,Interrupt requests,Merge tables,All of the above,A
Q8881,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I laugh at the student that stutters. Scenario 2 | I called the cops on a stranger for walking past me","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A
Q9140,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I gave discounts to the elderly. Scenario 2 | The neighbor's dog kept barking so I stuffed a sock in its mouth.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C
Q2663,"As of 2019, about what percentage of French people say God plays an important role in their life?",11%,31%,51%,71%,B
Q1517,Which of the following is a Wireless traffic Sniffing tool?,Maltego,BurpSuit,Nessus,Wireshark,D
Q1724,"When light undergoes interference, it can sometimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B
Q13065,Early theories of mass communication suggested that audiences were passive recipients of media messages and thus vulnerable to manipulation. Which of the following best describes current thinking?,Audiences are more vulnerable and passive than ever before.,"Television viewing, in particular, creates increased activity in the right hemisphere of the brain.",Active receivers are not uniformly affected by mass communication messages.,Technology has led to increasingly passive recipients at the ends of message transmission systems.,C
Q8210," On West's account, women who engage in undesired sex because of actual or felt dependence on their partner may experience injury to their sense of autonomy because",they have neglected to take whatever steps would lead to their self-sustenance.,they are dominated by their partners insofar as they are not free to do as they please.,they are actually coerced into having sex.,none of the above.,A
Q736,The transcription of DNA to a molecule of messenger RNA occurs:,on the ribosomes.,in the cytosol.,in the nucleus.,only during cell division.,C
Q1563,"A _________________ may be a hidden part of a program, a separate infected program a Trojan in disguise of an executable or code in the firmware of any system’s hardware.",crypter,virus,backdoor,key-logger,C
Q10597,During the current year Cooley Co. had an unrealized gain of $100000 on a debt investment classified as available-for-sale. Cooley's corporate tax rate is 25%. What amount of the gain should be included in Cooley's net income and other comprehensive income at the end of the current year? Net income Other comprehensive income,$100000 $0,$75000 $25000,$25000 $75000,$0 $75000,D
